doc_id,annotation_id,ranumb,annotation_original,c3pa_label,matched_sentences,source_csv
DB_1,26,ra3, Personal Data.,Categories of Personal Information Collected,DB_1_S16;DB_1_S59;DB_1_S83;DB_1_S85;DB_1_S153;DB_1_S154;DB_1_S177;DB_1_S181;DB_1_S187;DB_1_S221;DB_1_S237;DB_1_S238;DB_1_S251;DB_1_S253,C3PA_Dataset/Annotations/DB/1.csv
DB_1,133,ra1,EUROPEAN USERS,Updated Privacy Policy,DB_1_S214;DB_1_S223,C3PA_Dataset/Annotations/DB/1.csv
DB_1,141,ra1,Usage Data,Categories of Personal Information Shared / Disclosed,DB_1_S20;DB_1_S21;DB_1_S22;DB_1_S23;DB_1_S24;DB_1_S293,C3PA_Dataset/Annotations/DB/1.csv
DB_1,142,ra1,Account Data,Categories of Personal Information Shared / Disclosed,DB_1_S27;DB_1_S28;DB_1_S29;DB_1_S30;DB_1_S31;DB_1_S296,C3PA_Dataset/Annotations/DB/1.csv
DB_1,143,ra1,Profile Data,Categories of Personal Information Shared / Disclosed,DB_1_S34;DB_1_S35;DB_1_S36;DB_1_S37;DB_1_S64;DB_1_S142;DB_1_S299,C3PA_Dataset/Annotations/DB/1.csv
DB_1,144,ra1,Transaction Data,Categories of Personal Information Shared / Disclosed,DB_1_S40;DB_1_S41;DB_1_S42;DB_1_S43;DB_1_S302,C3PA_Dataset/Annotations/DB/1.csv
DB_1,145,ra1,Correspondence Dat,Categories of Personal Information Shared / Disclosed,DB_1_S46;DB_1_S47;DB_1_S48;DB_1_S50;DB_1_S305,C3PA_Dataset/Annotations/DB/1.csv
DB_1,146,ra1,Network Information,Categories of Personal Information Shared / Disclosed,DB_1_S53;DB_1_S54;DB_1_S55;DB_1_S56;DB_1_S308,C3PA_Dataset/Annotations/DB/1.csv
DB_1,147,ra1,a,Categories of Personal Information Shared / Disclosed,DB_1_S2;DB_1_S4;DB_1_S5;DB_1_S6;DB_1_S7;DB_1_S8;DB_1_S9;DB_1_S10;DB_1_S11;DB_1_S12;DB_1_S14;DB_1_S16;DB_1_S17;DB_1_S18;DB_1_S20;DB_1_S21;DB_1_S22;DB_1_S23;DB_1_S24;DB_1_S25;DB_1_S27;DB_1_S28;DB_1_S29;DB_1_S30;DB_1_S31;DB_1_S32;DB_1_S34;DB_1_S35;DB_1_S36;DB_1_S37;DB_1_S38;DB_1_S40;DB_1_S41;DB_1_S42;DB_1_S43;DB_1_S44;DB_1_S46;DB_1_S47;DB_1_S48;DB_1_S49;DB_1_S50;DB_1_S51;DB_1_S53;DB_1_S54;DB_1_S55;DB_1_S56;DB_1_S57;DB_1_S59;DB_1_S60;DB_1_S62;DB_1_S63;DB_1_S64;DB_1_S66;DB_1_S67;DB_1_S68;DB_1_S69;DB_1_S70;DB_1_S71;DB_1_S73;DB_1_S74;DB_1_S75;DB_1_S76;DB_1_S77;DB_1_S78;DB_1_S79;DB_1_S81;DB_1_S82;DB_1_S83;DB_1_S85;DB_1_S86;DB_1_S88;DB_1_S89;DB_1_S91;DB_1_S92;DB_1_S93;DB_1_S94;DB_1_S95;DB_1_S97;DB_1_S98;DB_1_S99;DB_1_S101;DB_1_S102;DB_1_S103;DB_1_S104;DB_1_S105;DB_1_S106;DB_1_S107;DB_1_S108;DB_1_S109;DB_1_S110;DB_1_S111;DB_1_S112;DB_1_S113;DB_1_S114;DB_1_S115;DB_1_S116;DB_1_S117;DB_1_S118;DB_1_S119;DB_1_S120;DB_1_S121;DB_1_S122;DB_1_S123;DB_1_S125;DB_1_S126;DB_1_S127;DB_1_S128;DB_1_S129;DB_1_S130;DB_1_S131;DB_1_S132;DB_1_S133;DB_1_S134;DB_1_S135;DB_1_S136;DB_1_S137;DB_1_S138;DB_1_S139;DB_1_S140;DB_1_S141;DB_1_S142;DB_1_S143;DB_1_S144;DB_1_S145;DB_1_S146;DB_1_S147;DB_1_S148;DB_1_S150;DB_1_S152;DB_1_S153;DB_1_S154;DB_1_S155;DB_1_S156;DB_1_S157;DB_1_S158;DB_1_S160;DB_1_S161;DB_1_S162;DB_1_S163;DB_1_S165;DB_1_S166;DB_1_S167;DB_1_S168;DB_1_S169;DB_1_S170;DB_1_S171;DB_1_S172;DB_1_S175;DB_1_S177;DB_1_S178;DB_1_S179;DB_1_S181;DB_1_S182;DB_1_S183;DB_1_S184;DB_1_S185;DB_1_S187;DB_1_S188;DB_1_S189;DB_1_S190;DB_1_S191;DB_1_S192;DB_1_S195;DB_1_S197;DB_1_S198;DB_1_S199;DB_1_S200;DB_1_S201;DB_1_S202;DB_1_S204;DB_1_S205;DB_1_S206;DB_1_S207;DB_1_S208;DB_1_S209;DB_1_S210;DB_1_S211;DB_1_S212;DB_1_S214;DB_1_S215;DB_1_S218;DB_1_S219;DB_1_S220;DB_1_S221;DB_1_S223;DB_1_S224;DB_1_S225;DB_1_S226;DB_1_S227;DB_1_S228;DB_1_S231;DB_1_S232;DB_1_S233;DB_1_S235;DB_1_S236;DB_1_S237;DB_1_S238;DB_1_S239;DB_1_S241;DB_1_S242;DB_1_S244;DB_1_S245;DB_1_S246;DB_1_S247;DB_1_S248;DB_1_S251;DB_1_S252;DB_1_S253;DB_1_S254;DB_1_S257;DB_1_S258;DB_1_S259;DB_1_S260;DB_1_S261;DB_1_S263;DB_1_S264;DB_1_S265;DB_1_S266;DB_1_S268;DB_1_S269;DB_1_S270;DB_1_S272;DB_1_S273;DB_1_S275;DB_1_S276;DB_1_S279;DB_1_S280;DB_1_S282;DB_1_S284;DB_1_S285;DB_1_S286;DB_1_S287;DB_1_S289;DB_1_S290;DB_1_S291;DB_1_S292;DB_1_S293;DB_1_S296;DB_1_S299;DB_1_S302;DB_1_S305;DB_1_S308;DB_1_S312;DB_1_S314;DB_1_S315;DB_1_S317;DB_1_S318;DB_1_S319;DB_1_S321;DB_1_S322;DB_1_S323;DB_1_S324;DB_1_S327;DB_1_S328;DB_1_S329;DB_1_S331;DB_1_S332;DB_1_S333;DB_1_S334;DB_1_S336;DB_1_S337;DB_1_S338;DB_1_S340;DB_1_S341;DB_1_S342;DB_1_S343;DB_1_S344;DB_1_S346;DB_1_S347;DB_1_S348,C3PA_Dataset/Annotations/DB/1.csv
DB_100,83,ra4,THE INFORMATION WE COLLECT,Categories of Personal Information Collected,DB_100_S8;DB_100_S78,C3PA_Dataset/Annotations/DB/100.csv
