doc_id,sentence_id,sentence_text,verbatim_label,verbatim_labels,annotator_count,annotators,source_annotation_count,alignment_type,source_html,source_annotation_file
DB_1,DB_1_S285,"In addition, the CCPA provides you the right to access and delete Personal Data for California residents.",MULTI_LABEL,Description of Right to Delete;Description of Right to Know PI Collected,2,ra1;ra2,3,annotation_in_sentence,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_10,DB_10_S12,"In addition, the CCPA provides you the right to access and delete Personal Data for California residents.",MULTI_LABEL,Description of Right to Delete;Description of Right to Know PI Collected,2,ra3;ra4,4,annotation_in_sentence,C3PA_Dataset/Htmls/DB/10.html,C3PA_Dataset/Annotations/DB/10.csv
DB_10,DB_10_S22,"We use IP addresses to analyze trends, administer the site, track user’s movement, and gather broad demographic information for aggregate use.",MULTI_LABEL,Categories of Personal Information Shared / Disclosed;Categories of Personal Information Sold,1,ra4,2,annotation_in_sentence,C3PA_Dataset/Htmls/DB/10.html,C3PA_Dataset/Annotations/DB/10.csv
DB_100,DB_100_S23,INFORMATION WE COLLECT THROUGH AUTOMATED MEANS,MULTI_LABEL,Categories of Personal Information Shared / Disclosed;Categories of Personal Information Sold,1,ra5,2,annotation_in_sentence;sentence_in_annotation,C3PA_Dataset/Htmls/DB/100.html,C3PA_Dataset/Annotations/DB/100.csv
DB_102,DB_102_S46,"We may also use your Personal Information or non-Personal Information for other purposes consistent with our business, except when not permitted by applicable law.",MULTI_LABEL,Categories of Personal Information Collected;Categories of Personal Information Shared / Disclosed;Categories of Personal Information Sold,2,ra2;ra3,4,annotation_in_sentence,C3PA_Dataset/Htmls/DB/102.html,C3PA_Dataset/Annotations/DB/102.csv
DB_102,DB_102_S68,"Subject to applicable law, you may have the right to request access to and receive details about the Personal Information we have collected and maintain about you, update and correct inaccuracies in your Personal Information, and have the Personal Information deleted so that it cannot be sold.",MULTI_LABEL,Description of Right to Correct Information;Description of Right to Delete;Description of Right to Know PI Collected;Description of Right to Opt-out of sale of PI,1,ra3,4,annotation_in_sentence,C3PA_Dataset/Htmls/DB/102.html,C3PA_Dataset/Annotations/DB/102.csv
DB_102,DB_102_S88,"Please be aware that we may provide links to third-party websites, including those websites maintained by political candidates/political campaigns, other political organizations or persons, and news media outlets, as a service to our visitors.",MULTI_LABEL,Description of Right to Correct Information;Description of Right to Delete;Description of Right to Know PI Collected;Description of Right to Know PI sold / shared,1,ra2,4,annotation_in_sentence,C3PA_Dataset/Htmls/DB/102.html,C3PA_Dataset/Annotations/DB/102.csv
DB_102,DB_102_S99,"The California Consumer Privacy Act (CCPA) affords residents of the State of California the right to know the Personal Information we collect about you and how it is used and shared (“Right to Know”), the right to delete upon request some types of – but not all – Personal Information we have collected about you (“Right to Delete”), the right to opt-out of the sale of your Personal Information (“Right to Opt-Out”), and your right to be fully protected against discrimination from us if you were to exercise any of these rights.",MULTI_LABEL,Description of Right to Delete;Description of Right to Know PI Collected;Description of Right to Know PI sold / shared;Description of Right to Non-discrimination on exercising rights;Description of Right to Opt-out of sale of PI,2,ra3;ra4,9,annotation_in_sentence,C3PA_Dataset/Htmls/DB/102.html,C3PA_Dataset/Annotations/DB/102.csv
DB_103,DB_103_S46,"By using a browser plugin available at http://www.google.com/ads/preferences/plugin/ provided by Google, you can opt out of Google Analytics.",MULTI_LABEL,Description of Right to Opt-out of sale of PI;Methods to exercise rights,1,ra5,2,annotation_in_sentence,C3PA_Dataset/Htmls/DB/103.html,C3PA_Dataset/Annotations/DB/103.csv
DB_103,DB_103_S59,Improving the relevance of advertising;,MULTI_LABEL,Categories of Personal Information Shared / Disclosed;Categories of Personal Information Sold,1,ra4,2,annotation_in_sentence,C3PA_Dataset/Htmls/DB/103.html,C3PA_Dataset/Annotations/DB/103.csv
