doc_id,sentence_id,sentence_text,sentence_category,verbatim_label,verbatim_labels,annotator_count,annotators,source_annotation_count,alignment_type,source_html,source_annotation_file
DB_1,DB_1_S2,Support@Lead411.io,single_label,Methods to exercise rights,Methods to exercise rights,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S8,"Lead411 reserves the right, at any time, to modify this Privacy Policy.",single_label,Updated Privacy Policy,Updated Privacy Policy,3,ra1;ra2;ra3,3,annotation_in_sentence;sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S9,"If we make revisions that change the way we collect, use, or share Personal Data, we will post those changes in this Privacy Policy.",single_label,Updated Privacy Policy,Updated Privacy Policy,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S10,You should review this Privacy Policy periodically so that you keep up to date on our most current policies and practices.,single_label,Updated Privacy Policy,Updated Privacy Policy,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S11,We will note the effective date of the latest version of our Privacy Policy at the end of this Privacy Policy.,single_label,Updated Privacy Policy,Updated Privacy Policy,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S12,Your continued use of the Services following posting of changes constitutes your acceptance of such changes.,single_label,Updated Privacy Policy,Updated Privacy Policy,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S14,COLLECTION OF PERSONAL DATA,single_label,Description of Right to Opt-out of sale of PI,Description of Right to Opt-out of sale of PI,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S17,"“Personal Data” means information that identifies, relates to, describes, is reasonably capable of being associated with, or could reasonably be linked to, directly or indirectly, a particular consumer or household.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,annotation_in_sentence;sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S18,The following are categories (with non-exhaustive examples) of Personal Data we may collect about you and for each category the purpose for which it may be used:,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S20,Usage Data.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,annotation_in_sentence;sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
